# نموذج جديد للصف الثاني الثانوي – 100 سؤال مشابه لاختبارات التحصيلي
questions = [
    # أسئلة سهلة – الوراثة والكروموسومات
    {"question": "الكروموسومات تتواجد في:", "options": ["نواة الخلية", "الميتوكوندريا", "الفجوة", "الغشاء البلازمي"], "answer": "نواة الخلية"},
    {"question": "الجين هو:", "options": ["وحدة وراثية تحدد صفة معينة", "خلية كاملة", "إنزيم", "بروتين فقط"], "answer": "وحدة وراثية تحدد صفة معينة"},
    {"question": "الصفات الوراثية تنتقل من:", "options": ["الوالدين إلى الأبناء", "الخلية إلى العضو", "النبات إلى الحيوان", "الإنزيمات إلى البروتين"], "answer": "الوالدين إلى الأبناء"},
    {"question": "الكروموسومات البشرية عددها:", "options": ["46", "23", "92", "44"], "answer": "46"},
    {"question": "الكروموسومات الجنسية تحدد:", "options": ["نوع الجنس", "لون الشعر", "الطول", "الدم"], "answer": "نوع الجنس"},
    {"question": "إذا كان الكروموسوم XY، فهذا يدل على:", "options": ["ذكر", "أنثى", "نبات", "غير حي"], "answer": "ذكر"},
    {"question": "إذا كان الكروموسوم XX، فهذا يدل على:", "options": ["أنثى", "ذكر", "نبات", "غير حي"], "answer": "أنثى"},
    {"question": "الانقسام الميتوزي ينتج:", "options": ["خليتين متماثلتين", "أربع خلايا مختلفة", "خلايا جنسية", "نبات كامل"], "answer": "خليتين متماثلتين"},
    {"question": "الانقسام الميوزي ينتج:", "options": ["أمشاج", "خلايا متماثلة", "أنسجة", "خلايا نباتية"], "answer": "أمشاج"},
    {"question": "الميوز يساهم في:", "options": ["التنوع الوراثي", "تكرار الخلايا الجسدية", "إنتاج الطاقة", "هضم الطعام"], "answer": "التنوع الوراثي"},

    # أسئلة متوسطة – الوراثة والتطبيقات
    {"question": "صفة سائدة تظهر في:", "options": ["فرد واحد على الأقل من الأبناء", "كل الأبناء دائمًا", "لا تظهر أبدًا", "تظهر فقط في الإناث"], "answer": "فرد واحد على الأقل من الأبناء"},
    {"question": "صفة متنحية تظهر في:", "options": ["فردين يحملان الصفة", "كل الأبناء دائمًا", "الأب فقط", "الابن فقط"], "answer": "فردين يحملان الصفة"},
    {"question": "الهجينة F1 تنتج من:", "options": ["تزاوج أفراد مختلفين في الصفة", "انقسام الخلية", "التغذية", "التلقيح الذاتي"], "answer": "تزاوج أفراد مختلفين في الصفة"},
    {"question": "النمط الظاهري هو:", "options": ["المظهر الخارجي للصفة", "التركيب الجيني", "نوع الخلية", "لون البلاستيدات"], "answer": "المظهر الخارجي للصفة"},
    {"question": "النمط الجيني هو:", "options": ["التركيب الوراثي للصفة", "لون العيون فقط", "توزيع الغذاء", "حجم النبات"], "answer": "التركيب الوراثي للصفة"},
